first_name,last_name,state
corey,maggette,detroit
cory,higgins,charlotte
courtney,lee,boston
d.j.,augustin,indiana
dj,white,boston
dajuan,summers,los angeles
daequan,cook,chicago
dahntay,jones,atlanta
damian,lillard,portland
damien,wilkins,philadelphia
daniel,gibson,cleveland
chris,wilcox,boston
dequan,jones,orlando
derek,fisher,oklahoma
e'twaun,moore,orlando
earl,clark,los angeles
earl,watson,utah
ed,davis,memphis
eddy,curry,dallas
ekpe,udoh,milwaukee
elton,brand,dallas
enes,kanter,utah
eric,bledsoe,los angeles
eric,maynor,portland
ersan,ilyasova,milwaukee
evan,fournier,denver
dwyane,wade,miami
desagana,diop,charlotte
dwight,howard,los angeles
deron,williams, brooklyn
derrick,favors,utah
derrick,williams,minnesota
devin,ebanks,los angeles
devin,harris,atlanta
dexter,pittman,memphis
diante,garrett,phoenix
dion,waiters,cleveland
dirk,nowitzki,dallas
dominic,mcguire,indiana
dominique,jones,dallas
donatas,motiejunas,houston
dorell,wright,philadelphia
doron,lamb,orlando
drew,gooden,milwaukee
daniel,orton,oklahoma
chris,paul,los angeles
andrew,goudelock,los angeles
andrew,nicholson,orlando
antawn,jamison,los angeles
anthony,morrow,dallas
anthony,randolph,denver
anthony,tolliver,atlanta
arnett,moultrie,philadelphia
arron,afflalo,orlando
austin,daye,memphis
avery,bradley,boston
ben,gordon,charlotte
chris,quinn,cleveland
ben,hansbrough,indiana
andrei,kirilenko,minnesota
andre,miller,denver
aaron,gray,toronto
al,harrington,orlando
al,horford,atlanta
al,jefferson,utah
alan,anderson,toronto
alec,burks,utah
alexey,shved,minnesota
alonzo,gee,cleveland
amir,johnson,toronto
anderson,varejao,cleveland
andray,blatche, brooklyn
andre,drummond,detroit
andre,iguodala,denver
andrea,bargnani,toronto
beno,udrih,orlando
bismack,biyombo,charlotte
caron,butler,los angeles
chandler,parsons,houston
charles,jenkins,philadelphia
charlie,villanueva,detroit
chauncey,billups,los angeles
chris,andersen,miami
chris,bosh,miami
chris,douglas-roberts,dallas
chris,duhon,los angeles
chris,johnson,minnesota
chris,johnson,memphis
chris,kaman,dallas
bernard,james,dallas
carlos,delfino,houston
chase,budinger,minnesota
blake,griffin,los angeles
carlos,boozer,chicago
brandan,wright,dallas
brandon,bass,boston
brandon,knight,detroit
brandon,roy,minnesota
brandon,jennings,milwaukee
brendan,haywood,charlotte
brook,lopez, brooklyn
byron,mullens,charlotte
c.j.,watson, brooklyn
cj,miles,cleveland
ronnie,price,orlando
rudy,gay,sacramento
royce,white,sacramento
royal,ivey,oklahoma
roy,hibbert,indiana
ronny,turiaf,minnesota
rudy,gobert,utah
ronnie,brewer,chicago
ricky,ledo,dallas
rodney,stuckey,detroit
robin,lopez,portland
robert,sacre,los angeles
robert,covington,houston
robbie,hummel,minnesota
ricky,rubio,minnesota
richard,jefferson,utah
russell,westbrook,oklahoma
roger,mason jr.,miami
shawne,williams,los angeles
ryan,hollins,los angeles
shelvin,mack,atlanta
reggie,williams,oklahoma
shawn,marion,dallas
shavlik,randolph,phoenix
shaun,livingston, brooklyn
shane,larkin,dallas
shane,edwards,cleveland
shane,battier,miami
shabazz,muhammad,minnesota
seth,curry,cleveland
sergey,karasev,cleveland
serge,ibaka,oklahoma
scotty,hopson,cleveland
sasha,vujacic,los angeles
samuel,dalembert,dallas
ryan,kelly,los angeles
ryan,gomes,oklahoma
reggie,jackson,oklahoma
andrew,bynum,indiana
reggie,bullock,los angeles
patrick,beverley,houston
pj,tucker,phoenix
othyus,jeffers,minnesota
orlando,johnson,sacramento
omri,casspi,houston
omer,asik,houston
o.j.,mayo,milwaukee
norris,cole,miami
nikola,vucevic,orlando
nikola,pekovic,minnesota
nicolas,batum,portland
nick,young,los angeles
nick,collison,oklahoma
solomon,hill,indiana
patrick,patterson,toronto
reggie,evans,sacramento
paul,george,indiana
ray,mccallum,sacramento
ray,allen,miami
rasual,butler,indiana
rashard,lewis,miami
randy,foye,denver
